"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Volume_Per_Container","Bottles_Per_Unit","Total_vol","Price_L","Value_metric"
"161","CANADA","CANADA","MCAUSLAN - ST AMBROISE APRICOT WHEAT ALE","SPECIALTY","FRUIT BEER","15",3.51,5,12.45,0.341,6,2.046,6.09,0.576824096385542
"162","CANADA","CANADA","PACIFIC WESTERN - PACIFIC PILSNER CAN","LAGER","AMERICAN ADJUNCT",NA,2.71,5,19.9,0.355,15,5.325,3.74,0.725163316582915
"163","CANADA","CANADA","CREEMORE SPRINGS - PREMIUM LAGER","LAGER","PILSNER","24",3.45,5,12.99,0.341,6,2.046,6.35,0.543394919168591
"164","CANADA","CANADA","DRIFTWOOD - PALE ALE","PALE ALE","AMERICAN PALE ALE",NA,3.65,5,5.25,0.65,1,0.65,8.08,0.451904761904762
"165","CANADA","CANADA","PACIFIC WESTERN - SCANDAL ALE ORGANIC","LAGER","AMBER LAGER","17",3.43,5,12.49,0.341,6,2.046,6.1,0.561871897518014
"166","CANADA","CANADA","PHILLIPS - ANALOGUE 78 KOLSCH","PALE ALE","KOLSCH",NA,3.47,5,11.99,0.341,6,2.046,5.86,0.592128440366973
"167","USA","UNITED STATES OF AMERICA","LAGUNITAS - IMPERIAL RED ALE","STRONG ALE","IMPERIAL RED ALE","54",3.86,7.8,6.05,0.65,1,0.65,9.31,0.414710743801653
"168","CANADA","CANADA","LABATT - LUCKY LAGER","LAGER","AMERICAN ADJUNCT",NA,2.42,5,23.49,0.341,12,4.092,5.74,0.421568326947637
"169","CANADA","CANADA","COLUMBIA - KOOTENAY TRUE ALE CAN","RED ALE","AMERICAN AMBER",NA,2.94,5,8.15,0.355,6,2.13,3.83,0.768368098159509
"170","CANADA","CANADA","SLEEMAN - SILVER CREEK LAGER","LAGER","PALE LAGER",NA,3.03,5,12.99,0.341,6,2.046,6.35,0.477242494226328
"171","CANADA","CANADA","COLUMBIA - KOKANEE","LAGER","AMERICAN ADJUNCT",NA,2.8,5,34.69,0.341,18,6.138,5.65,0.495428077255693
"172","CANADA","CANADA","R & B - EAST SIDE BITTER","PALE ALE","ESB","30",3.59,5.5,12.25,0.341,6,2.046,5.99,0.599603265306123
"173","CANADA","CANADA","DOUBLE TROUBLE - HOPS AND ROBBERS IPA","IPA","AMERICAN IPA","50",3.51,5.7,5.23,0.65,1,0.65,8.05,0.43623326959847
"174","CANADA","CANADA","BOWEN ISLAND - MUTINY RED ALE CAN","RED ALE","AMERICAN AMBER","NA`",3.18,5,8.95,0.355,6,2.13,4.2,0.756804469273743
"175","EUROPE","UNITED KINGDOM","WELLS BANANA BREAD","SPECIALTY","FRUIT BEER","18",3.57,5.2,3.55,0.5,1,0.5,7.1,0.502816901408451
"176","USA","UNITED STATES OF AMERICA","OMMEGANG GAME OF THRONES FIRE & BLOOD","RED ALE","AMERICAN AMBER",NA,3.56,6.8,8.95,0.75,1,0.75,11.93,0.298324022346369
"177","EUROPE","FRANCE","KRONENBOURG 1664 BLANC TALL CAN","WHEAT","BELGIAN WITBIER","7",3.51,5,2.65,0.5,1,0.5,5.3,0.662264150943396
"178","CANADA","CANADA","PARALLEL 49 - WILD RIDE 2ND ANNIVERSARY BELGIAN STRONG ALE","STRONG ALE","BELGIAN STRONG PALE","27",3.49,9,6.5,0.65,1,0.65,10,0.349
"179","USA","UNITED STATES OF AMERICA","NOLI BREWHOUSE - BORN AND RAISED IPA","IPA","AMERICAN IPA","85",3.67,7,5.99,0.65,1,0.65,9.22,0.398247078464107
"180","CANADA","CANADA","BAD TATTOO - WESTCOAST IPA","IPA","AMERICAN IPA","65",3.59,6.2,5.95,0.65,1,0.65,9.15,0.39218487394958
"181","CANADA","CANADA","TREE - CUTTHROAT PALE ALE TALL CAN","PALE ALE","AMERICAN PALE ALE","36",3.38,5,2.25,0.5,1,0.5,4.5,0.751111111111111
"182","CANADA","CANADA","SHAFTEBURY - COASTAL CREAM ALE TALL CAN","HYBRID","CREAM ALE","16",3.09,5,1.99,0.5,1,0.5,3.98,0.776381909547739
"183","CANADA","CANADA","TREE - MELLOW MOON","WHEAT","HEFEWEIZEN","20",3.48,5,11.5,0.33,6,1.98,5.81,0.599165217391304
"184","EUROPE","UNITED KINGDOM","DUCHY ORIGINALS ORGANIC OLD RUBY ALE","RED ALE","OTHER",NA,3.39,5,3.55,0.5,1,0.5,7.1,0.477464788732394
"185","CANADA","CANADA","STEAMWORKS - PUMPKIN ALE","SPECIALTY","PUMPKIN","25",3.44,6.5,5.5,0.65,1,0.65,8.46,0.406545454545455
"186","CANADA","CANADA","MT BEGBIE - DARK SIDE OF THE STOKE COFFEE STOUT","STOUT","OATMEAL","22",3.57,4.8,5.1,0.65,1,0.65,7.85,0.455
"187","CANADA","CANADA","MCAUSLAN - ST AMBROISE PUMPKIN ALE","SPECIALTY","PUMPKIN","18",3.49,5,8.95,0.341,4,1.364,6.56,0.531883798882682
"188","CANADA","CANADA","LABATT - ROLLING ROCK CAN","LAGER","AMERICAN ADJUNCT","5",2.78,4.5,12.49,0.355,6,2.13,5.86,0.474091273018415
"189","CANADA","CANADA","STANLEY PARK - WINDSTORM TALL CAN","PALE ALE","AMERICAN PALE ALE","35",3.53,5.7,2.45,0.5,1,0.5,4.9,0.720408163265306
"190","CANADA","CANADA","RUSSELL - A WEE ANGRY SCOTCH ALE","STRONG ALE","SCOTCH ALE","30",3.69,6.5,5.95,0.65,1,0.65,9.15,0.403109243697479
"191","EUROPE","ITALY","MORETTI","LAGER","PALE LAGER","12",3.1,4.6,12.95,0.33,6,1.98,6.54,0.473976833976834
"192","CANADA","CANADA","WHISTLER - WINTER DUNKEL","WHEAT","DUNKELWEIZEN","24",3.71,5,5.75,0.65,1,0.65,8.85,0.419391304347826
"193","USA","UNITED STATES OF AMERICA","NEW BELGIUM - FAT TIRE AMBER ALE","RED ALE","AMERICAN AMBER","22",3.58,5.2,14.5,0.355,6,2.13,6.81,0.525889655172414
"194","CANADA","CANADA","BOWEN ISLAND - TWISTED TRAIL EXTRA PALE ALE","PALE ALE","AMERICAN PALE ALE",NA,3.04,5,8.89,0.355,6,2.13,4.17,0.728368953880765
"195","CANADA","CANADA","BIG SURF - LAID BACK LAGER CAN","LAGER","PALE LAGER",NA,2.9,5,8.29,0.355,6,2.13,3.89,0.745114595898673
"196","CANADA","CANADA","PHILLIPS - SLIPSTREAM CREAM ALE","HYBRID","CREAM ALE",NA,3.5,5,11.99,0.341,6,2.046,5.86,0.597247706422018
"197","CANADA","CANADA","FERNIE - FIRST TRAX  BROWN ALE CAN","BROWN ALE","ENGLISH BROWN ALE","14",3.49,5,11.95,0.355,6,2.13,5.61,0.622066945606695
"198","CANADA","CANADA","MICHELOB - ULTRA SLIM CAN","LAGER","AMERICAN LIGHT LAGER","10",2.38,4,21.99,0.355,12,4.26,5.16,0.46106412005457
"199","EUROPE","DENMARK","CARLSBERG TALL CAN","LAGER","PALE LAGER","8",2.973,5,2.5,0.5,1,0.5,5,0.5946
"200","EUROPE","GERMANY","HOLSTEN PREMIUM TALL CAN","LAGER","HELLES",NA,2.93,5.2,2.25,0.5,1,0.5,4.5,0.651111111111111
"201","CANADA","CANADA","MT BEGBIE - TALL TIMBER ALE CAN","BROWN ALE","ENGLISH BROWN ALE","20",3.58,5.2,11.75,0.355,6,2.13,5.52,0.648970212765957
"202","ASIA","CHINA","TSINGTAO","LAGER","PALE LAGER","25",2.86,4.5,11.45,0.33,6,1.98,5.78,0.49456768558952
"203","ASIA","TURKEY","EFES PILSENER TURKEY","LAGER","PILSNER",NA,2.92,5,11.99,0.33,6,1.98,6.06,0.482201834862385
"204","USA","UNITED STATES OF AMERICA","SAMUEL ADAMS BOSTON LAGER","LAGER","VIENNA LAGER","30",3.42,5,12.99,0.355,6,2.13,6.1,0.560785219399538
"205","EUROPE","ICELAND","BRIO TALL CAN","LAGER","PILSNER","32",3.1,4.8,1.99,0.5,1,0.5,3.98,0.778894472361809
"206","CANADA","CANADA","WHISTLER - BEAR PAW HONEY LAGER","LAGER","PALE LAGER","16",3.49,5,12.25,0.33,6,1.98,6.19,0.564097959183674
"207","CANADA","CANADA","OKANAGAN SPRING - CLOUDY AMBER ALE","RED ALE","AMERICAN AMBER","38",3.23,5,12.99,0.341,6,2.046,6.35,0.508743648960739
"208","EUROPE","GERMANY","WERNESGRUNER PILS TALL CAN","LAGER","PILSNER","35",3.1,4.9,2.15,0.5,1,0.5,4.3,0.72093023255814
"209","USA","UNITED STATES OF AMERICA","PYRAMID BREWERIES - SEASONAL CURVE BALL BLONDE ALE","PALE ALE","AMERICAN BLONDE ALE","18",3.34,5.5,4.99,0.65,1,0.65,7.68,0.435070140280561
"210","CANADA","CANADA","CENTRAL CITY - RED RACER IMPERIAL IPA","IPA","IMPERIAL IPA","90",3.8,9,6.5,0.65,1,0.65,10,0.38
"211","USA","UNITED STATES OF AMERICA","SIERRA SEASONAL","IPA","AMERICAN IPA",NA,3.68,6.2,14.24,0.355,6,2.13,6.69,0.550449438202247
"212","EUROPE","NETHERLANDS","GROLSCH PREMIUM LAGER TALL CAN","LAGER","PILSNER",NA,3.22,5,2.29,0.5,1,0.5,4.58,0.703056768558952
"213","EUROPE","GERMANY","WARSTEINER PREMIUM VERUM TALL CAN","LAGER","PILSNER","27",3.22,4.8,10.25,0.5,4,2,5.12,0.628292682926829
"214","USA","UNITED STATES OF AMERICA","BUD LIGHT LIME","LAGER","AMERICAN LIGHT LAGER","8",2.59,4,25.49,0.33,12,3.96,6.44,0.402369556688898
"215","CANADA","CANADA","LABATT - BUDWEISER CROWN","LAGER","AMERICAN AMBER","15",2.71,6,23.49,0.341,12,4.092,5.74,0.472086845466156
"216","CANADA","CANADA","STROH CANADA - OLD MILWAUKEE LIGHT CAN","LAGER","AMERICAN LIGHT LAGER",NA,2.36,4,20.25,0.355,15,5.325,3.8,0.620592592592592
"217","EUROPE","NETHERLANDS","BAVARIA ORIGINAL BREW","LAGER","PALE LAGER",NA,2.2,5,12.99,0.5,6,3,4.33,0.508083140877598
"218","EUROPE","UNITED KINGDOM","FULLERS LONDON PRIDE TALL CAN","PALE ALE","ESB",NA,3.42,4.7,11.3,0.5,4,2,5.65,0.605309734513274
"219","EUROPE","SPAIN","ESTRELLA DAMM INEDIT","WHEAT","BELGIAN WITBIER","18",3.53,5,6.99,0.75,1,0.75,9.32,0.378755364806867
"220","CANADA","CANADA","NELSON - PADDYWHACK IPA ORGANIC","IPA","AMERICAN IPA",NA,3.38,6.5,12.25,0.341,6,2.046,5.99,0.564528979591837
"221","CANADA","CANADA","MOLSON - EXTRA OLD STOCK CAN","MALT","MALT",NA,2.25,5.65,19.85,0.355,15,5.325,3.73,0.603589420654912
"222","CANADA","CANADA","GRANVILLE ISLAND - CYPRESS HONEY LAGER CAN","LAGER","PALE LAGER","15",3.33,4.8,12.99,0.355,6,2.13,6.1,0.546027713625866
"223","EUROPE","BELGIUM","KARMELIET TRIPEL","STRONG ALE","BELGIAN TRIPEL","16",4.03,8.4,3.64,0.33,1,0.33,11.03,0.365357142857143
"224","CANADA","CANADA","SALTSPRING - GOLDEN ALE","PALE ALE","AMERICAN BLONDE ALE",NA,3.51,5,5.65,0.65,1,0.65,8.69,0.403805309734513
"225","CANADA","CANADA","MOLSON - CANADIAN 67 TANGERINE TWIST CAN","SPECIALTY","FRUIT BEER",NA,2.38,3,23.99,0.355,12,4.26,5.63,0.422626094205919
"226","CANADA","CANADA","RICKARDS SHANDY CAN","SPECIALTY","FRUIT BEER",NA,2.74,4.5,12.99,0.355,6,2.13,6.1,0.449284064665127
"227","CANADA","CANADA","FERNIE - PROJECT 9 PILSNER CAN","","","",NA,5,11.95,0.355,6,2.13,5.61,NA
"228","CANADA","CANADA","LABATT - WILDCAT STRONG CAN","","","",NA,6.1,8.15,0.355,6,2.13,3.83,NA
"229","CANADA","CANADA","NELSON - WILD HONEY ORGANIC ALE CAN","","","",NA,4.5,11.75,0.355,6,2.13,5.52,NA
"230","CANADA","CANADA","VANCOUVER ISLAND - PIPER'S PALE ALE","","","",NA,5,11.99,0.341,6,2.046,5.86,NA
"231","CANADA","CANADA","MOLSON - EXTRA OLD STOCK CAN","","","",NA,5.65,7.99,0.355,6,2.13,3.75,NA
"232","CANADA","CANADA","LABATT - LUCKY LAGER CAN","","","",NA,5,9.35,0.355,6,2.13,4.39,NA
"233","CANADA","CANADA","LABATT - BUDWEISER CAN","","","",NA,5,9.69,0.355,6,2.13,4.55,NA
"234","CANADA","CANADA","LABATT - WILDCAT STRONG CAN","","","",NA,6.1,22.85,0.355,15,5.325,4.29,NA
"235","CANADA","CANADA","LABATT - BLUE CAN","","","",NA,5,34.99,0.355,24,8.52,4.11,NA
"236","CANADA","CANADA","COLUMBIA - KOKANEE CAN","","","",NA,5,23.75,0.355,12,4.26,5.58,NA
"237","CANADA","CANADA","LABATT - GENUINE LAGER CAN","","","",NA,5,34.99,0.355,24,8.52,4.11,NA
"238","CANADA","CANADA","PACIFIC WESTERN - IRONHORSE ORIGINAL CAN","","","",NA,6.4,7.79,0.355,6,2.13,3.66,NA
"239","CANADA","CANADA","RICKARDS RED","","","",NA,5,12.99,0.341,6,2.046,6.35,NA
"240","CANADA","CANADA","OKANAGAN SPRING - PORTER","PORTER","BALTIC PORTER",NA,3.59,8.5,12.99,0.341,6,2.046,6.35,0.565445727482679
"241","CANADA","CANADA","MOLSON - COORS LIGHT CAN","LAGER","AMERICAN LIGHT LAGER",NA,2.55,4,22.49,0.355,15,5.325,4.22,0.603768341485104
"242","CANADA","CANADA","LABATT - BLUE CAN","LAGER","PILSNER","12",2.89,5,22.29,0.355,15,5.325,4.19,0.690410497981157
"243","CANADA","CANADA","HOYNE - DARK MATTER","BROWN ALE","AMERICAN BROWN ALE","26",3.86,5.3,5.5,0.65,1,0.65,8.46,0.456181818181818
"244","CANADA","CANADA","BARKERVILLE - HOUND OF BARKERVILLE","BROWN ALE","AMERICAN BROWN ALE","17",3.56,5.9,5.9,0.65,1,0.65,9.08,0.392203389830509
"245","EUROPE","PORTUGAL","UNICER - SUPER BOCK TALL CAN","LAGER","PALE LAGER",NA,2.96,5.6,1.99,0.5,1,0.5,3.98,0.743718592964824
"246","USA","UNITED STATES OF AMERICA","SIERRA NEVADA - KELLERWEIS","WHEAT","HEFEWEIZEN","15",3.57,4.8,14.99,0.355,6,2.13,7.04,0.507278185456971
"247","EUROPE","UNITED KINGDOM","WELLS - STICKY TOFFEE PUDDING ALE","BROWN ALE","ENGLISH BROWN ALE",NA,3.45,5,3.65,0.5,1,0.5,7.3,0.472602739726027
"248","CANADA","CANADA","HOWE SOUND - CLOUDBURST LEMONGRASS WHITE IPA","","","",NA,6,8.75,1,1,1,8.75,NA
"249","CANADA","CANADA","CENTRAL CITY - RED RACER RED ALE TALL CAN","","","",NA,5.6,2.45,0.5,1,0.5,4.9,NA
"250","CANADA","CANADA","LABATT - ROLLING ROCK","","","",NA,4.5,20.39,0.341,12,4.092,4.98,NA
"251","CANADA","CANADA","RED TRUCK LAGER CAN","","","",NA,5,11.95,0.355,6,2.13,5.61,NA
"252","CANADA","CANADA","UNIBROUE - LA RESOLUTION","","","",NA,9.8,7.75,0.75,1,0.75,10.33,NA
"253","CANADA","CANADA","OKANAGAN SPRING - CRAFT PACK","","","",NA,5,22.95,0.341,12,4.092,5.61,NA
"254","CANADA","CANADA","PHILLIPS - OCTOFOX IPA","","","",NA,6.5,5.5,0.65,1,0.65,8.46,NA
"255","CANADA","CANADA","TREE - CHARACTER WINTER CAN","","","",NA,5,23.25,0.355,12,4.26,5.46,NA
"256","EUROPE","UNITED KINGDOM","FULLERS ORGANIC HONEY DEW","PALE ALE","AMERICAN BLONDE ALE","35",3.34,5,3.99,0.5,1,0.5,7.98,0.418546365914787
"257","EUROPE","FRANCE","AC/DC TALL CAN","LAGER","PALE LAGER","15",2.97,5,1.99,0.5,1,0.5,3.98,0.746231155778895
"258","CANADA","CANADA","PARALLEL 49 - SEEDSPITTER WATERMELON WIT","WHEAT","BELGIAN WITBIER","8",3.23,5,12.5,0.341,6,2.046,6.11,0.5286864
"259","CANADA","CANADA","WHISTLER - VALLEY TRAIL CHESTNUT ALE","SPECIALTY","HERB","25",3.84,5,12.25,0.33,6,1.98,6.19,0.620669387755102
"260","USA","UNITED STATES OF AMERICA","SAMUEL ADAMS REBEL IPA","IPA","AMERICAN IPA","45",3.51,6.5,12.99,0.355,6,2.13,6.1,0.57554272517321
"261","CANADA","CANADA","NELSON - FACEPLANT ORGANIC WINTER ALE CAN","DARK ALE","WINTER ALE",NA,3.55,6,12.25,0.355,6,2.13,5.75,0.617265306122449
"262","CANADA","CANADA","STANLEY PARK - WIT","WHEAT","BELGIAN WITBIER","14",3.35,5,12.25,0.33,6,1.98,6.19,0.541469387755102
"263","CANADA","CANADA","SPINNAKERS - NUT BROWN ALE","BROWN ALE","ENGLISH BROWN ALE","20",3.47,5.2,5.35,0.65,1,0.65,8.23,0.421588785046729
"264","CANADA","CANADA","LIGHTHOUSE - SEAPORT VANILLA STOUT","STOUT","AMERICAN STOUT","7",3.77,5.5,5.95,0.65,1,0.65,9.15,0.411848739495798
"265","CANADA","CANADA","DEAD FROG - WEEPING REAPER BLOOD ORANGE HELLES BOCK","BOCK","MAIBOCK","26",3.37,7,5.5,0.65,1,0.65,8.46,0.398272727272727
"266","CANADA","CANADA","PARALLEL 49 - SUN OF HOP PALE ALE","PALE ALE","BELGIAN PALE ALE",NA,3.8,5,5,0.65,1,0.65,7.69,0.494
"267","CANADA","CANADA","TIN WHISTLE - RATTLESNAKE ESB ALE","PALE ALE","ESB",NA,3.48,6.5,5.5,0.65,1,0.65,8.46,0.411272727272727
"268","EUROPE","AUSTRIA","STIEGL - GRAPEFRUIT RADLER TALL CAN","SPECIALTY","FRUIT BEER","8",3.79,2.5,3.89,0.5,1,0.5,7.78,0.487146529562982
"269","CANADA","CANADA","STANLEY PARK - NOBLE PILSNER TALL CAN","LAGER","PILSNER","12",3.33,5.1,2.25,0.5,1,0.5,4.5,0.74
"270","CANADA","CANADA","STEAMWORKS - BLITZEN","STRONG ALE","BELGIAN TRIPEL","20",3.55,9,6.25,0.65,1,0.65,9.62,0.3692
"271","CANADA","CANADA","RED TRUCK '46 PORTER","PORTER","AMERICAN PORTER","35",3.65,6.6,5.5,0.65,1,0.65,8.46,0.431363636363636
"272","USA","UNITED STATES OF AMERICA","GOOSE ISLAND MATILDA BELGIAN STYLE PALE ALE","PALE ALE","BELGIAN STRONG PALE","26",3.78,7,8.15,0.765,1,0.765,10.65,0.35480981595092
"273","CANADA","CANADA","STEAMWORKS - PILSNER","LAGER","PILSNER","30",3.4,5,12.5,0.355,6,2.13,5.87,0.57936
"274","CANADA","CANADA","LIGHTHOUSE - LAGER CAN","LAGER","PALE LAGER",NA,3.23,5.1,9.99,0.355,6,2.13,4.69,0.688678678678679
"275","USA","UNITED STATES OF AMERICA","MILLER GENUINE DRAFT","LAGER","AMERICAN ADJUNCT","12",2.49,4.7,45.99,0.355,24,8.52,5.4,0.461291585127202
"276","USA","UNITED STATES OF AMERICA","DESCHUTES - SEASONAL JUBELALE","DARK ALE","WINTER ALE","65",3.6,5,14.5,0.355,6,2.13,6.81,0.528827586206897
"277","CANADA","CANADA","NELSON - HARVEST MOON ORGANIC HEMP ALE CAN","PALE ALE","KOLSCH",NA,3.36,5,12.25,0.355,6,2.13,5.75,0.584228571428571
"278","EUROPE","BELGIUM","ACHOUFFE - HOUBLON CHOUFFE DOBBELEN IPA TRIPEL","STRONG ALE","BELGIAN TRIPEL","47",3.75,9,3.8,0.33,1,0.33,11.52,0.325657894736842
"279","EUROPE","BELGIUM","MARTENS PILSENER TALL CAN","LAGER","PILSNER",NA,2.91,5,8.45,0.5,4,2,4.22,0.688757396449704
"280","CANADA","CANADA","WHISTLER - POWDER MOUNTAIN LAGER","LAGER","PALE LAGER","17",3.27,5,12.25,0.33,6,1.98,6.19,0.528538775510204
"281","CANADA","CANADA","DRIFTWOOD - WHITE BARK WITBIER","WHEAT","BELGIAN WITBIER",NA,3.61,5,5.25,0.65,1,0.65,8.08,0.446952380952381
"282","EUROPE","UNITED KINGDOM","INNIS & GUNN SPICED RUM FINISH","STRONG ALE","SCOTCH ALE",NA,3.62,7.4,4.99,0.33,1,0.33,15.12,0.23939879759519
"283","CANADA","CANADA","HOYNE - DOWN EASY PALE ALE","PALE ALE","AMERICAN PALE ALE",NA,3.57,5.2,5.5,0.65,1,0.65,8.46,0.421909090909091
"284","EUROPE","GERMANY","HACKER PSCHORR MUNICH GOLD TALL CAN","","","",NA,5.5,2.39,0.5,1,0.5,4.78,NA
"285","CANADA","CANADA","BRAVA - CAN","","","",NA,5.5,8.15,0.355,6,2.13,3.83,NA
"286","CANADA","CANADA","SAPPORO - TALL CAN","","","",NA,5,2.39,0.5,1,0.5,4.78,NA
"287","CANADA","CANADA","GRANVILLE ISLAND - KITSILANO MAPLE CREAM ALE","","","",NA,5,11.99,0.341,6,2.046,5.86,NA
"288","CANADA","CANADA","MOON UNDER WATER - POTT'S PILS UNFILTERED","","","",NA,5.2,5.58,0.65,1,0.65,8.58,NA
"289","CANADA","CANADA","PACIFIC WESTERN - SCANDAL LAGER ORGANIC","","","",NA,5,12.49,0.341,6,2.046,6.1,NA
"290","CANADA","CANADA","R & B - HOPPELGANGER IPA","","","",NA,5.5,5.25,0.65,1,0.65,8.08,NA
"291","EUROPE","BELGIUM","VAN STEENBERGE - GULDEN DRAAK","","","",NA,10.5,3.6,0.33,1,0.33,10.91,NA
"292","CANADA","CANADA","SHOCK TOP BELGIAN WHITE ALE","","","",NA,5.2,23.49,0.341,12,4.092,5.74,NA
"293","EUROPE","FRANCE","SAINT SYLVESTRE - 3 MONTS","","","",NA,8.5,6.95,0.75,1,0.75,9.27,NA
"294","EUROPE","BELGIUM","STELLA ARTOIS TALL CAN","","","",NA,5.2,2.89,0.5,1,0.5,5.78,NA
"295","AFRICA","SOUTH AFRICA","CASTLE LAGER TALL CAN","","","",NA,5,11.99,0.44,6,2.64,4.54,NA
"296","CANADA","CANADA","GRANVILLE ISLAND - WINTER MINGLER CAN","","","",NA,5,23.95,0.355,12,4.26,5.62,NA
"297","CANADA","CANADA","DEAD FROG - THE BOLD BELGIAN PALE ALE","","","",NA,5,12.25,0.341,6,2.046,5.99,NA
"298","CANADA","CANADA","SLEEMAN - SELECTIONS CAN","","","",NA,5.3,24.99,0.355,15,5.325,4.69,NA
"299","EUROPE","UNITED KINGDOM","MORLAND OLD SPECKLED HEN TALL CAN","PALE ALE","ESB",NA,3.29,5.2,10.25,0.5,4,2,5.12,0.641951219512195
"300","OTHER AMERICAS","MEXICO","CORONA EXTRA","LAGER","AMERICAN ADJUNCT","19",3.06,4.6,45.99,0.33,24,7.92,5.81,0.526966731898239
"301","CANADA","CANADA","COLUMBIA - KOKANEE CAN","LAGER","AMERICAN ADJUNCT",NA,2.8,5,9.69,0.355,6,2.13,4.55,0.615479876160991
"302","USA","UNITED STATES OF AMERICA","DESCHUTES - MIRROR POND PALE ALE","PALE ALE","AMERICAN PALE ALE","40",3.604,5,15.29,0.355,6,2.13,7.18,0.502061478090255
"303","CANADA","CANADA","STROH CANADA - OLD MILWAUKEE CAN","","","",NA,5,20.25,0.355,15,5.325,3.8,NA
"304","EUROPE","BELGIUM","STELLA ARTOIS","","","",NA,5.2,25.49,0.33,12,3.96,6.44,NA
"305","CANADA","CANADA","PRINCE EDWARD ISLAND BREWING - BEACH CHAIR LAGER CAN","","","",NA,4.5,12.39,0.355,6,2.13,5.82,NA
"306","EUROPE","SPAIN","ALHAMBRA RESERVA 1925","","","",NA,6.4,12.91,0.33,6,1.98,6.52,NA
"307","EUROPE","SPAIN","ESTRELLA DAMM LAGER TALL CAN","","","",NA,5.4,2.29,0.5,1,0.5,4.58,NA
"308","USA","UNITED STATES OF AMERICA","BUDWEISER & MOTTS CLAMATO - CHELADA CAN","","","",NA,5,13.99,0.355,6,2.13,6.57,NA
"309","EUROPE","BELGIUM","AFFLIGEM BLOND","","","",NA,6.8,3.19,0.33,1,0.33,9.67,NA
"310","CANADA","CANADA","TIN WHISTLE - BLACK WIDOW MILD ALE","","","",NA,5,5,0.65,1,0.65,7.69,NA
"311","CANADA","CANADA","UNIBROUE - LA FIN DU MONDE","","","",NA,9,6.75,0.75,1,0.75,9,NA
"312","CANADA","CANADA","MOLSON - OLD STYLE PILSNER CAN","","","",NA,5,13.99,0.355,8,2.84,4.93,NA
"313","CANADA","CANADA","CENTRAL CITY - RED RACER INDIA SESSION CAN","","","",NA,4,20.95,0.355,12,4.26,4.92,NA
"314","CANADA","CANADA","GRANVILLE ISLAND - LIONS WINTER ALE","","","",NA,5.5,12.99,0.341,6,2.046,6.35,NA
"315","USA","UNITED STATES OF AMERICA","GREEN FLASH - WESTCOAST IPA","IPA","IMPERIAL IPA","95",3.88,8.1,11.99,0.355,4,1.42,8.44,0.459516263552961
"316","CANADA","CANADA","WHISTLER - THE CHIEF CHIPOTLE HARVEST ALE","","","",NA,5.5,5.75,0.65,1,0.65,8.85,NA
"317","EUROPE","GERMANY","HACKER PSCHORR WEISSE","","","",NA,5.5,3.25,0.5,1,0.5,6.5,NA
"318","EUROPE","CZECH REPUBLIC","KOZEL PREMIUM TALL CAN","LAGER","PILSNER","11",3.19,4.9,2.29,0.5,1,0.5,4.58,0.696506550218341
"319","USA","UNITED STATES OF AMERICA","COORS BANQUET CAN","","","",NA,5,24.49,0.355,12,4.26,5.75,NA
"320","EUROPE","IRELAND","GUINNESS BLACK LAGER","LAGER","DARK LAGER","22",3.28,4.2,12.99,0.33,6,1.98,6.56,0.499953810623557
"321","CANADA","CANADA","LABATT - BLUE","","","",NA,5,23.49,0.341,12,4.092,5.74,NA
"322","CANADA","CANADA","MOLSON - CANADIAN","","","",NA,5,33.99,0.341,18,6.138,5.54,NA
"323","CANADA","CANADA","MOLSON - COORS LIGHT","","","",NA,4,22.99,0.341,12,4.092,5.62,NA
"324","CANADA","CANADA","SLEEMAN - CREAM ALE","","","",NA,5,12.99,0.341,6,2.046,6.35,NA
"325","CANADA","CANADA","SLEEMAN - CREAM ALE","","","",NA,5,22.99,0.341,12,4.092,5.62,NA
"326","CANADA","CANADA","MOLSON - COORS LIGHT","","","",NA,4,33.99,0.341,18,6.138,5.54,NA
"327","CANADA","CANADA","CANNERY - BLACKBERRY PORTER","","","",NA,6.5,5.25,0.65,1,0.65,8.08,NA
"328","CANADA","CANADA","MCAUSLAN - ST AMBROISE OATMEAL STOUT","","","",NA,5.5,12.45,0.341,6,2.046,6.09,NA
"329","CANADA","CANADA","MOLSON - CANADIAN CAN","","","",NA,5,22.49,0.355,15,5.325,4.22,NA
"330","CANADA","CANADA","COLUMBIA - KOKANEE CAN","","","",NA,5,22.99,0.355,15,5.325,4.32,NA
"331","CANADA","CANADA","SPINNAKERS - INDIA PALE ALE","","","",NA,6.5,5.35,0.65,1,0.65,8.23,NA
"332","EUROPE","BELGIUM","VAN STEENBERGE - PIRAAT 9","STRONG ALE","BELGIAN STRONG PALE",NA,3.66,9,3.5,0.33,1,0.33,10.61,0.345085714285714
"333","CANADA","CANADA","STEAMWORKS - FIREWALKER SMOKEY PORTER","","","",NA,7,6.25,0.65,1,0.65,9.62,NA
"334","EUROPE","UNITED KINGDOM","MCEWAN'S - SCOTCH ALE","","","",NA,8,12.95,0.33,6,1.98,6.54,NA
"335","EUROPE","UNITED KINGDOM","INNIS & GUNN TOASTED OAK IPA","","","",NA,5.6,2.79,0.33,1,0.33,8.45,NA
"336","USA","UNITED STATES OF AMERICA","DESCHUTES - CINDERCONE RED ALE","","","",NA,5.4,5.09,0.65,1,0.65,7.83,NA
